step,total_load_N,max_DCR,max_moment_Nm,moment_capacity_Nm,all_checks_safe
1.000000000000000000e+00,2.044391516442610373e+04,7.755701741386210324e-02,4.116130434956855424e+03,9.598425196850392967e+04,1.000000000000000000e+00
2.000000000000000000e+00,4.088783032885220746e+04,1.553060675197291685e-01,8.233018061923694404e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.000000000000000000e+00,6.133174549327830755e+04,2.332441823554380345e-01,1.235047748922446044e+04,9.598425196850392967e+04,1.000000000000000000e+00
4.000000000000000000e+00,8.177566065770441492e+04,3.113683388849490807e-01,1.646835323415708262e+04,9.598425196850392967e+04,1.000000000000000000e+00
5.000000000000000000e+00,1.022195758221305150e+05,3.896754792572796333e-01,2.058648974506862578e+04,9.598425196850392967e+04,1.000000000000000000e+00
