step,total_load_N,max_DCR,max_moment_Nm,moment_capacity_Nm,all_checks_safe
1.000000000000000000e+00,1.630466311574736574e+04,6.336780602229465098e-02,9.938052286773477135e+02,9.598425196850392967e+04,1.000000000000000000e+00
2.000000000000000000e+00,3.260932623149473147e+04,1.267504292244615860e-01,1.987504671898561355e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.000000000000000000e+00,4.891398934724210267e+04,1.901477122128757413e-01,2.981097426395189814e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.000000000000000000e+00,6.521865246298946295e+04,2.535594994892451659e-01,3.974581208276708821e+03,9.598425196850392967e+04,1.000000000000000000e+00
5.000000000000000000e+00,8.152331557873683050e+04,3.169856352187614412e-01,4.967953725430297709e+03,9.598425196850392967e+04,1.000000000000000000e+00
