step,total_load_N,max_DCR,all_members_safe
1.000000000000000000e+00,1.676172515517204738e+04,6.818552620249113128e-01,1.000000000000000000e+00
2.000000000000000000e+00,3.352345031034409476e+04,6.794909861569071730e-01,1.000000000000000000e+00
3.000000000000000000e+00,5.028517546551614214e+04,6.771268291174221687e-01,1.000000000000000000e+00
4.000000000000000000e+00,6.704690062068818952e+04,6.747628415674764568e-01,1.000000000000000000e+00
5.000000000000000000e+00,8.380862577586024418e+04,6.723990731642861540e-01,1.000000000000000000e+00
