step,total_load_N,max_DCR,all_members_safe
1.000000000000000000e+00,3.283472537405131152e+04,1.385162412915586123e-02,1.000000000000000000e+00
2.000000000000000000e+00,6.566945074810262304e+04,2.981921610869460101e-02,1.000000000000000000e+00
3.000000000000000000e+00,9.850417612215393456e+04,4.768421608410460671e-02,1.000000000000000000e+00
4.000000000000000000e+00,1.313389014962052461e+05,6.709572489086998437e-02,1.000000000000000000e+00
5.000000000000000000e+00,1.641736268702565867e+05,8.764052624130452829e-02,1.000000000000000000e+00
