step,total_load_N,max_DCR,all_members_safe
1.000000000000000000e+00,1.963523556795673358e+04,4.018921003092065097e-02,1.000000000000000000e+00
2.000000000000000000e+00,3.927047113591346715e+04,8.037876240367423930e-02,1.000000000000000000e+00
3.000000000000000000e+00,5.890570670387020073e+04,1.205687158485837657e-01,1.000000000000000000e+00
4.000000000000000000e+00,7.854094227182693430e+04,1.607590552991282340e-01,1.000000000000000000e+00
5.000000000000000000e+00,9.817617783978366060e+04,2.009497661451881967e-01,1.000000000000000000e+00
